127.0.0.1 - - [19/Jan/2021:12:51:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:09 +0900] "GET /UI02_CSS/ HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:12 +0900] "GET /UI02_CSS/css13_border.html HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:37 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:38 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:38 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:38 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:39 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:39 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:39 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:39 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:39 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:51 +0900] "GET /UI02_CSS/ HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:52 +0900] "GET /UI02_CSS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:52 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:52 +0900] "GET /UI02_CSS/resources/img/img01.PNG HTTP/1.1" 200 149722
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:51:52 +0900] "GET /UI02_CSS/resources/img/img02.jpg HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:17 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:18 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:19 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:19 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:19 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:19 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:19 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:20 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:20 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:20 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:20 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:40 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:52 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:37:55 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:04 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:06 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:07 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:08 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:12 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:38:27 +0900] "GET /UI02_CSS/css14_background.html HTTP/1.1" 304 -
